Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-24,11069.349609375,11110.099609375,11046.150390625,11086.0,283400,0,0
2018-01-25,11095.599609375,11095.599609375,11009.2001953125,11069.650390625,330300,0,0
2018-01-29,11079.349609375,11171.5498046875,11075.9501953125,11130.400390625,241700,0,0
2018-01-30,11120.849609375,11121.099609375,11033.900390625,11049.650390625,228000,0,0
2018-01-31,11018.7998046875,11058.5,10979.2998046875,11027.7001953125,245900,0,0
2018-02-01,11044.5498046875,11117.349609375,10878.7998046875,11016.900390625,306200,0,0
2018-02-02,10938.2001953125,10954.9501953125,10736.099609375,10760.599609375,282700,0,0
2018-02-05,10604.2998046875,10702.75,10586.7998046875,10666.5498046875,240100,0,0
2018-02-06,10295.150390625,10594.150390625,10276.2998046875,10498.25,266500,0,0
2018-02-07,10607.2001953125,10614.0,10446.400390625,10476.7001953125,250400,0,0
2018-02-08,10518.5,10637.7998046875,10479.5498046875,10576.849609375,232200,0,0
2018-02-09,10416.5,10480.2001953125,10398.2001953125,10454.9501953125,191600,0,0
2018-02-12,10518.2001953125,10555.5,10485.400390625,10539.75,217400,0,0
2018-02-14,10585.75,10590.5498046875,10456.650390625,10500.900390625,229200,0,0
2018-02-15,10537.900390625,10618.099609375,10511.0498046875,10545.5,210600,0,0
2018-02-16,10596.2001953125,10612.900390625,10434.0498046875,10452.2998046875,184300,0,0
2018-02-19,10488.900390625,10489.349609375,10302.75,10378.400390625,187300,0,0
2018-02-20,10391.0,10429.349609375,10347.650390625,10360.400390625,187700,0,0
2018-02-21,10426.0,10426.099609375,10349.599609375,10397.4501953125,234100,0,0
2018-02-22,10354.349609375,10397.5498046875,10340.650390625,10382.7001953125,313600,0,0
2018-02-23,10408.099609375,10499.099609375,10396.650390625,10491.0498046875,210600,0,0
2018-02-26,10526.5498046875,10592.9501953125,10520.2001953125,10582.599609375,171900,0,0
2018-02-27,10615.2001953125,10631.650390625,10537.25,10554.2998046875,187500,0,0
2018-02-28,10488.9501953125,10535.5,10461.5498046875,10492.849609375,286000,0,0
2018-03-01,10479.9501953125,10525.5,10447.150390625,10458.349609375,176000,0,0
2018-03-05,10428.2998046875,10428.7001953125,10323.900390625,10358.849609375,194000,0,0
2018-03-06,10420.5,10441.349609375,10215.900390625,10249.25,222900,0,0
2018-03-07,10232.9501953125,10243.349609375,10141.5498046875,10154.2001953125,249500,0,0
2018-03-08,10216.25,10270.349609375,10146.400390625,10242.650390625,226400,0,0
2018-03-09,10271.2998046875,10296.7001953125,10211.900390625,10226.849609375,186500,0,0
2018-03-12,10301.599609375,10433.650390625,10295.4501953125,10421.400390625,216400,0,0
2018-03-13,10389.5,10478.599609375,10377.849609375,10426.849609375,266700,0,0
2018-03-14,10393.0498046875,10420.349609375,10336.2998046875,10410.900390625,181400,0,0
2018-03-15,10405.4501953125,10420.0,10346.2001953125,10360.150390625,173900,0,0
2018-03-16,10345.150390625,10346.2998046875,10180.25,10195.150390625,328500,0,0
2018-03-19,10215.349609375,10224.5498046875,10075.2998046875,10094.25,210200,0,0
2018-03-20,10051.5498046875,10155.650390625,10049.099609375,10124.349609375,203000,0,0
2018-03-21,10181.9501953125,10227.2998046875,10132.9501953125,10155.25,204800,0,0
2018-03-22,10167.5,10207.849609375,10105.400390625,10114.75,230500,0,0
2018-03-23,9968.7998046875,10027.7001953125,9951.900390625,9998.0498046875,285700,0,0
2018-03-26,9989.150390625,10143.5,9958.5498046875,10130.650390625,262600,0,0
2018-03-27,10188.0,10207.900390625,10139.650390625,10184.150390625,225700,0,0
2018-03-28,10143.599609375,10158.349609375,10096.900390625,10113.7001953125,344400,0,0
